;emotions.data.angry;emotions.data.disgust;emotions.data.fear;emotions.data.happy;emotions.data.sad;emotions.data.surprise;emotions.data.neutral;ogama_gazepoint.data.trigger
82;6.26-0.0641;6.26-0.0;6.26-0.1725;6.26-0.0044;6.26-0.192;6.26-0.0002;6.26-0.5668;0.0-0
83;6.33-0.038;6.33-0.0001;6.33-0.1985;6.33-0.0004;6.33-0.3921;6.33-0.0006;6.33-0.3705;0.0-255
84;7.76-0.0;7.76-0.0;7.76-0.005;7.76-0.0394;7.76-0.0089;7.76-0.0008;7.76-0.9459;0.0-0
85;7.86-0.0016;7.86-0.0;7.86-0.706;7.86-0.0025;7.86-0.2586;7.86-0.0;7.86-0.0313;0.0-0
86;7.94-0.0055;7.94-0.0;7.94-0.1007;7.94-0.0135;7.94-0.7567;7.94-0.0;7.94-0.1235;0.0-0
87;8.0-0.0001;8.0-0.0;8.0-0.1448;8.0-0.0001;8.0-0.8529;8.0-0.0;8.0-0.0021;0.0-0
88;8.08-0.0002;8.08-0.0;8.08-0.1572;8.08-0.0002;8.08-0.8393;8.08-0.0;8.08-0.0032;0.0-0
89;8.16-0.0046;8.16-0.0;8.16-0.5177;8.16-0.0024;8.16-0.3344;8.16-0.0;8.16-0.1408;0.0-0
90;8.23-0.001;8.23-0.0;8.23-0.6707;8.23-0.0007;8.23-0.3016;8.23-0.0001;8.23-0.026;0.0-0
91;8.3-0.0097;8.3-0.0;8.3-0.4053;8.3-0.0015;8.3-0.4325;8.3-0.0002;8.3-0.1507;0.0-0
92;8.37-0.0027;8.37-0.0;8.37-0.57;8.37-0.0065;8.37-0.2718;8.37-0.0002;8.37-0.1487;0.0-0
93;8.44-0.0083;8.44-0.0;8.44-0.1155;8.45-0.0308;8.45-0.2825;8.45-0.0001;8.45-0.5629;0.0-0
94;8.52-0.0148;8.52-0.0;8.52-0.1816;8.52-0.0012;8.52-0.4139;8.52-0.0003;8.52-0.3882;0.0-0
95;8.6-0.0123;8.6-0.0;8.6-0.2862;8.6-0.0028;8.6-0.3492;8.6-0.0003;8.6-0.3493;0.0-0
96;8.67-0.1267;8.67-0.0;8.67-0.1873;8.67-0.0004;8.68-0.4017;8.68-0.0001;8.68-0.2838;0.0-0
